Churn,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,TotalCharges,customerID,gender,tenure
No,Two year,Yes,Yes,DSL,46.6,Yes,No internet service,Yes,No,Yes,Credit card,Yes,1,Yes,No,No internet service,4238.91,ID547,Female,42
No,One year,Yes,No,No,107.83,Yes,No internet service,No internet service,Yes,No,Electronic check,No,0,No internet service,Yes,Yes,3203.09,ID548,Male,70
No,One year,Yes,Yes,No,37.25,No,No,Yes,No,Yes,Mailed check,Yes,1,No internet service,No,No,8145.77,ID549,Female,10
No,Two year,Yes,No internet service,DSL,29.55,No phone service,No internet service,Yes,Yes,Yes,Mailed check,Yes,1,No,No internet service,Yes,4973.68,ID550,Male,25
Yes,Two year,Yes,No internet service,No,108.37,No,No,No,No,No,Credit card,No,0,No,No,Yes,6571.29,ID551,Male,44
Yes,Month-to-month,No,Yes,DSL,109.2,Yes,No internet service,No,No,Yes,Credit card,No,1,No internet service,Yes,Yes,176.3,ID552,Male,43
No,Month-to-month,Yes,No,No,53.83,No phone service,Yes,Yes,No,No,Bank transfer,Yes,0,No,No,Yes,7167.11,ID553,Female,11
No,Two year,Yes,No internet service,No,88.8,Yes,Yes,No,No,Yes,Credit card,No,0,No internet service,No,No internet service,6668.6,ID554,Male,50
No,Month-to-month,No,Yes,No,37.15,No,No internet service,Yes,Yes,Yes,Mailed check,No,0,No,No,Yes,4442.52,ID555,Female,55
Yes,Month-to-month,Yes,No internet service,DSL,23.28,No phone service,No internet service,Yes,Yes,Yes,Electronic check,Yes,0,Yes,No internet service,No,3671.51,ID556,Female,5
Yes,One year,Yes,Yes,Fiber optic,19.53,No phone service,No internet service,Yes,No,Yes,Bank transfer,Yes,1,No internet service,No,No internet service,8043.52,ID557,Female,48
No,One year,Yes,No,DSL,67.5,Yes,No,No internet service,No,Yes,Credit card,Yes,0,Yes,No internet service,No internet service,8230.79,ID558,Female,59
Yes,One year,No,No internet service,Fiber optic,64.37,Yes,No internet service,Yes,Yes,Yes,Bank transfer,No,1,No,No,No internet service,6868.02,ID559,Female,32
Yes,Month-to-month,Yes,No,DSL,117.12,No,Yes,No,Yes,Yes,Electronic check,No,0,No,Yes,No,1543.41,ID560,Male,52
No,Month-to-month,No,No,DSL,48.18,Yes,No,No,No,No,Electronic check,Yes,0,No internet service,No,Yes,5136.72,ID561,Male,37
Yes,Two year,Yes,No,DSL,45.57,Yes,No,No,Yes,Yes,Credit card,No,0,No,No internet service,No,4186.82,ID562,Male,51
No,Month-to-month,Yes,Yes,DSL,107.65,No,No,No internet service,No,No,Bank transfer,Yes,0,No internet service,No,No internet service,4592.44,ID563,Female,3
No,One year,Yes,No,Fiber optic,98.99,Yes,No internet service,Yes,Yes,No,Bank transfer,Yes,1,Yes,Yes,No,7872.49,ID564,Female,56
Yes,Two year,No,No,Fiber optic,66.68,Yes,No internet service,Yes,No,Yes,Mailed check,Yes,0,No internet service,Yes,No internet service,4110.62,ID565,Female,52
No,Two year,No,No internet service,No,49.42,Yes,Yes,No,Yes,No,Electronic check,No,1,No,No internet service,Yes,7674.27,ID566,Male,43
Yes,Two year,No,No internet service,Fiber optic,41.49,Yes,No,Yes,Yes,No,Bank transfer,Yes,1,Yes,No,No internet service,4372.71,ID567,Male,54
No,Two year,No,Yes,DSL,79.33,No,No,No internet service,No,No,Mailed check,No,1,No internet service,No,No,7123.39,ID568,Male,12
No,Month-to-month,Yes,No internet service,No,93.39,Yes,No internet service,Yes,Yes,Yes,Bank transfer,Yes,0,Yes,No,Yes,8203.14,ID569,Male,41
No,Month-to-month,No,No internet service,Fiber optic,66.7,Yes,No internet service,No,No,Yes,Bank transfer,No,1,Yes,No,No internet service,6245.78,ID570,Female,20
No,One year,Yes,Yes,Fiber optic,59.85,No phone service,No internet service,No,Yes,Yes,Electronic check,Yes,1,No,Yes,No internet service,2509.91,ID571,Male,37
No,Month-to-month,No,No,No,114.61,Yes,No,Yes,Yes,Yes,Mailed check,No,1,No,Yes,No internet service,4621.86,ID572,Male,49
Yes,Two year,No,Yes,DSL,27.37,Yes,No,Yes,Yes,Yes,Bank transfer,No,0,No,No internet service,Yes,6348.86,ID573,Female,46
No,Month-to-month,No,No,No,82.43,No,Yes,No,No,No,Bank transfer,No,0,No internet service,Yes,No internet service,1448.07,ID574,Male,49
Yes,One year,Yes,No,No,104.34,No,Yes,No internet service,No,Yes,Credit card,Yes,1,No,No internet service,No,4910.63,ID575,Male,28
No,One year,No,No internet service,Fiber optic,117.5,No,No,No,Yes,Yes,Credit card,Yes,0,Yes,No,Yes,8504.86,ID576,Female,3
No,Month-to-month,No,No,No,40.28,No phone service,Yes,No internet service,No,Yes,Mailed check,No,0,Yes,Yes,Yes,1627.17,ID577,Female,34
No,One year,Yes,Yes,DSL,75.9,No phone service,No,No,Yes,Yes,Bank transfer,Yes,0,Yes,Yes,No internet service,2419.21,ID578,Female,1
No,Month-to-month,No,Yes,No,102.87,No,Yes,No internet service,Yes,Yes,Mailed check,No,1,No internet service,Yes,No,843.59,ID579,Female,16
No,Two year,No,No,DSL,83.69,Yes,Yes,No internet service,Yes,Yes,Bank transfer,No,0,No internet service,Yes,No,4491.52,ID580,Male,2
Yes,One year,No,No internet service,DSL,79.72,Yes,Yes,No,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,6771.12,ID581,Male,41
Yes,Two year,Yes,No internet service,Fiber optic,33.55,Yes,No internet service,Yes,Yes,No,Credit card,No,0,Yes,Yes,No,5850.48,ID582,Female,64
Yes,One year,Yes,Yes,No,101.14,Yes,No internet service,No internet service,Yes,Yes,Electronic check,No,0,Yes,No internet service,No,1769.11,ID583,Female,1
Yes,Month-to-month,Yes,No internet service,No,30.09,No phone service,Yes,No,Yes,No,Mailed check,Yes,0,No,No,Yes,4696.1,ID584,Female,15
No,Month-to-month,Yes,No,No,101.04,No phone service,No internet service,Yes,Yes,No,Bank transfer,Yes,0,No internet service,Yes,Yes,5073.65,ID585,Female,44
No,Two year,Yes,No internet service,Fiber optic,99.98,No phone service,No,Yes,Yes,No,Bank transfer,No,1,No internet service,No,Yes,7860.41,ID586,Female,8
No,Month-to-month,No,Yes,DSL,100.49,No phone service,No internet service,No,Yes,Yes,Mailed check,Yes,0,No,No,Yes,591.89,ID587,Female,68
Yes,One year,No,No,DSL,22.65,No,Yes,No internet service,No,Yes,Electronic check,Yes,0,No,No internet service,No,5668.59,ID588,Male,61
Yes,One year,No,Yes,Fiber optic,22.6,No,No,No internet service,No,Yes,Mailed check,Yes,0,Yes,No,Yes,473.21,ID589,Female,10
No,Month-to-month,Yes,No,No,32.9,No,Yes,Yes,No,Yes,Bank transfer,No,1,Yes,Yes,No internet service,591.67,ID590,Female,39
Yes,Two year,No,No internet service,Fiber optic,32.57,No phone service,No,Yes,No,Yes,Credit card,Yes,0,No,No,No,6820.73,ID591,Male,41
Yes,Month-to-month,No,No,No,39.24,No phone service,Yes,No,No,No,Bank transfer,No,1,No,Yes,Yes,8099.89,ID592,Female,16
Yes,Two year,Yes,No internet service,No,18.41,No,No,Yes,Yes,No,Mailed check,Yes,1,No,No,No internet service,3751.23,ID593,Male,55
No,One year,No,No internet service,Fiber optic,29.95,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,Yes,2128.87,ID594,Male,10
Yes,Month-to-month,Yes,No,Fiber optic,21.74,No,No internet service,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No internet service,No,4335.78,ID595,Male,4
Yes,One year,No,Yes,Fiber optic,29.36,No,Yes,Yes,Yes,Yes,Bank transfer,Yes,0,Yes,No internet service,No internet service,2990.78,ID596,Male,3
Yes,One year,No,Yes,No,100.74,No,Yes,No,Yes,Yes,Electronic check,No,1,No internet service,No,No,6425.81,ID597,Female,70
No,Two year,Yes,No,No,98.81,No,No,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No,No internet service,806.32,ID598,Male,41
No,Month-to-month,Yes,No,DSL,66.42,No,No internet service,No internet service,Yes,No,Credit card,Yes,1,No,No internet service,No internet service,6941.97,ID599,Female,69
Yes,Two year,No,Yes,DSL,43.85,No,Yes,No internet service,Yes,Yes,Bank transfer,Yes,1,No internet service,No,No,2739.23,ID600,Female,2
Yes,One year,Yes,Yes,Fiber optic,68.72,Yes,No,No,No,No,Electronic check,No,0,No,No,No internet service,2564.94,ID601,Male,30
Yes,Two year,No,No,DSL,75.8,No phone service,Yes,No internet service,Yes,No,Mailed check,No,0,No internet service,No,No,2207.79,ID602,Female,69
No,Month-to-month,Yes,No,No,25.49,Yes,No internet service,Yes,Yes,Yes,Bank transfer,No,0,No internet service,Yes,No internet service,3393.26,ID603,Male,11
Yes,One year,No,Yes,Fiber optic,85.57,Yes,No internet service,No,No,No,Electronic check,Yes,1,Yes,Yes,No,1661.73,ID604,Male,43
No,Month-to-month,No,Yes,Fiber optic,51.11,No phone service,No,Yes,No,Yes,Electronic check,Yes,1,No internet service,Yes,Yes,8165.78,ID605,Female,55
No,Month-to-month,No,No internet service,No,116.69,No phone service,Yes,No,Yes,No,Bank transfer,No,0,No internet service,No,No,2278.19,ID606,Male,16
Yes,Month-to-month,Yes,No internet service,No,25.27,No,No,Yes,No,Yes,Electronic check,Yes,1,Yes,No internet service,No internet service,1229.68,ID607,Male,21
Yes,Two year,Yes,No,No,49.18,No phone service,No internet service,No internet service,No,No,Credit card,Yes,0,No internet service,Yes,Yes,7115.82,ID608,Male,13
Yes,Month-to-month,No,Yes,Fiber optic,96.66,No,Yes,No,No,Yes,Credit card,No,1,No,No internet service,No,7706.0,ID609,Female,22
No,Two year,No,No internet service,No,66.54,Yes,No,No internet service,Yes,No,Electronic check,No,1,Yes,No internet service,No internet service,6439.67,ID610,Female,19
Yes,One year,Yes,No,Fiber optic,97.55,No,No internet service,No,No,Yes,Bank transfer,Yes,0,Yes,No,No internet service,2379.6,ID611,Female,23
No,One year,Yes,No,DSL,39.79,Yes,No internet service,No internet service,No,No,Mailed check,No,0,No internet service,No,No,324.81,ID612,Male,58
No,One year,No,No internet service,DSL,59.1,No,No,Yes,No,Yes,Credit card,Yes,0,No,No,No,1364.4,ID613,Male,61
No,Month-to-month,Yes,Yes,DSL,66.24,No,Yes,Yes,Yes,No,Bank transfer,No,0,No internet service,No,No,2857.84,ID614,Male,2
Yes,Two year,No,Yes,No,92.69,Yes,No internet service,No,Yes,No,Mailed check,Yes,1,No internet service,No,No internet service,676.64,ID615,Male,55
Yes,Month-to-month,Yes,Yes,Fiber optic,53.04,No,No internet service,No internet service,Yes,No,Electronic check,No,1,No internet service,No internet service,No internet service,4367.9,ID616,Male,5
Yes,Two year,Yes,No,DSL,115.37,No phone service,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,No,No internet service,351.31,ID617,Female,59
Yes,Month-to-month,No,Yes,No,67.15,Yes,No,Yes,Yes,No,Mailed check,Yes,1,No internet service,Yes,No internet service,4357.36,ID618,Male,15
No,Two year,No,Yes,DSL,20.21,Yes,Yes,No,No,Yes,Credit card,Yes,0,No,No,Yes,6439.41,ID619,Male,13
No,One year,No,Yes,No,34.72,No,No,No internet service,Yes,No,Bank transfer,No,1,Yes,No,Yes,8008.69,ID620,Female,56
No,Two year,No,Yes,DSL,63.34,No phone service,No internet service,No internet service,No,Yes,Electronic check,No,1,No,Yes,No,6092.24,ID621,Male,35
Yes,Month-to-month,No,No internet service,Fiber optic,77.42,Yes,Yes,No,No,Yes,Bank transfer,No,0,Yes,Yes,No internet service,5187.87,ID622,Male,21
Yes,One year,No,No internet service,Fiber optic,78.75,Yes,Yes,No,Yes,No,Electronic check,No,0,Yes,Yes,Yes,6811.59,ID623,Female,64
No,Two year,Yes,No internet service,No,45.3,Yes,No,No internet service,No,No,Mailed check,Yes,0,No internet service,No,Yes,2560.44,ID624,Male,7
Yes,Two year,No,No,Fiber optic,86.74,No,No internet service,No internet service,No,Yes,Bank transfer,Yes,0,No,No,No,5895.66,ID625,Male,71
No,One year,No,No internet service,No,83.55,No,No internet service,Yes,Yes,No,Bank transfer,No,1,No internet service,No internet service,Yes,5410.91,ID626,Female,70
Yes,One year,No,No internet service,DSL,96.88,Yes,No,Yes,No,Yes,Mailed check,Yes,0,Yes,Yes,No internet service,6526.71,ID627,Male,36
No,Two year,No,No internet service,Fiber optic,110.19,Yes,No internet service,No,Yes,Yes,Credit card,Yes,1,Yes,No internet service,No,2839.17,ID628,Female,27
No,Two year,Yes,Yes,DSL,101.25,No,No internet service,No internet service,Yes,No,Mailed check,Yes,1,No internet service,No,Yes,2621.14,ID629,Male,22
No,One year,No,No,DSL,46.57,No,No,Yes,Yes,Yes,Credit card,No,0,No,No,No,6525.35,ID630,Female,6
Yes,Two year,No,No internet service,Fiber optic,42.05,Yes,Yes,No internet service,No,No,Mailed check,No,0,Yes,No,Yes,2848.14,ID631,Female,55
No,One year,Yes,Yes,DSL,53.85,No,Yes,No,Yes,Yes,Bank transfer,Yes,1,Yes,Yes,No,8543.89,ID632,Male,37
Yes,One year,Yes,Yes,No,40.48,No,Yes,No,No,Yes,Bank transfer,Yes,0,Yes,Yes,No internet service,3067.38,ID633,Male,21
No,Month-to-month,No,Yes,DSL,29.09,Yes,No,No,No,No,Bank transfer,Yes,1,Yes,No,Yes,5138.98,ID634,Male,58
Yes,Two year,Yes,Yes,Fiber optic,23.27,No,No,No,No,Yes,Electronic check,No,1,Yes,No,Yes,2424.55,ID635,Female,41
No,Two year,No,No,No,74.17,Yes,No internet service,No,Yes,No,Electronic check,Yes,0,No internet service,Yes,No,6679.94,ID636,Male,53
Yes,Month-to-month,Yes,No internet service,Fiber optic,74.71,Yes,Yes,No internet service,No,No,Credit card,No,0,No internet service,Yes,No internet service,3941.79,ID637,Female,16
Yes,One year,No,Yes,No,53.93,No,Yes,No,No,Yes,Mailed check,Yes,1,Yes,Yes,Yes,531.04,ID638,Male,45
Yes,Month-to-month,Yes,No,DSL,41.68,Yes,No internet service,No,No,No,Bank transfer,No,0,Yes,No internet service,No,3121.9,ID639,Female,60
Yes,One year,Yes,No,DSL,86.62,No phone service,Yes,Yes,Yes,No,Credit card,Yes,0,No,No internet service,No internet service,8591.94,ID640,Male,45
Yes,Two year,Yes,No internet service,Fiber optic,117.4,No,No,No internet service,No,Yes,Mailed check,No,1,No,Yes,Yes,1699.99,ID641,Female,66
Yes,Two year,Yes,Yes,Fiber optic,50.58,Yes,No,Yes,Yes,No,Electronic check,No,1,No internet service,No internet service,Yes,6944.29,ID642,Male,16
No,Two year,Yes,No internet service,Fiber optic,108.53,Yes,No internet service,No,No,Yes,Bank transfer,Yes,0,No,No internet service,No,117.64,ID643,Male,6
No,One year,No,Yes,DSL,31.94,No,No internet service,No,No,No,Credit card,Yes,0,No,No,No internet service,4425.6,ID644,Male,34
Yes,One year,Yes,No,DSL,82.49,No,Yes,No internet service,No,No,Mailed check,Yes,1,Yes,Yes,No,2396.46,ID645,Male,31
No,One year,Yes,Yes,No,46.32,No phone service,Yes,Yes,Yes,No,Bank transfer,Yes,1,No internet service,Yes,Yes,2343.94,ID646,Female,68
Yes,Month-to-month,No,No internet service,DSL,31.98,Yes,No,No,No,Yes,Electronic check,Yes,1,Yes,Yes,No,6655.79,ID647,Male,50
Yes,Month-to-month,Yes,Yes,DSL,81.69,No,No,No,No,Yes,Mailed check,No,1,No internet service,No,Yes,2907.71,ID648,Male,57
No,One year,Yes,No,DSL,111.26,No phone service,No internet service,No,No,Yes,Credit card,Yes,0,Yes,No internet service,No,1995.25,ID649,Female,16
Yes,Two year,No,No internet service,DSL,103.18,No phone service,Yes,No internet service,Yes,Yes,Bank transfer,Yes,1,Yes,No internet service,Yes,2660.65,ID650,Male,29
Yes,Two year,Yes,No internet service,DSL,69.42,No phone service,Yes,No,Yes,Yes,Bank transfer,No,1,No,Yes,No,780.13,ID651,Female,8
Yes,Two year,Yes,No internet service,No,45.85,No phone service,Yes,Yes,No,Yes,Electronic check,No,1,No,Yes,No,5546.51,ID652,Female,19
Yes,Two year,No,No internet service,DSL,70.11,Yes,No,Yes,Yes,Yes,Bank transfer,No,0,Yes,Yes,No,2254.5,ID653,Female,22
Yes,Two year,Yes,Yes,DSL,22.63,Yes,Yes,Yes,Yes,No,Credit card,Yes,1,No internet service,No,Yes,1651.45,ID654,Male,13
No,Month-to-month,No,No,No,31.98,No,Yes,No internet service,Yes,No,Electronic check,No,1,No,No internet service,No,2421.54,ID655,Male,51
Yes,Two year,Yes,Yes,No,71.24,No,Yes,Yes,Yes,No,Electronic check,No,0,No,No,No internet service,7096.41,ID656,Female,45
No,Two year,Yes,No internet service,Fiber optic,45.39,Yes,No,No,No,No,Electronic check,No,1,Yes,No,Yes,3887.94,ID657,Female,47
No,One year,Yes,No internet service,DSL,28.9,No phone service,Yes,Yes,No,No,Electronic check,Yes,1,Yes,Yes,No,7965.76,ID658,Male,11
No,Two year,Yes,Yes,Fiber optic,33.08,No,No,Yes,No,Yes,Electronic check,No,1,Yes,No,No internet service,920.42,ID659,Female,55
No,Month-to-month,No,No internet service,No,69.51,No,Yes,No internet service,Yes,Yes,Electronic check,Yes,1,Yes,No,Yes,3039.88,ID660,Female,26
Yes,Two year,No,No internet service,No,99.73,No,No internet service,Yes,Yes,Yes,Credit card,No,0,Yes,No,No internet service,3946.66,ID661,Male,33
No,One year,No,No,No,28.8,No phone service,No internet service,Yes,Yes,No,Bank transfer,No,0,No,No internet service,No,5357.2,ID662,Male,58
Yes,Two year,No,No,No,90.76,No phone service,No internet service,No,Yes,Yes,Mailed check,No,1,Yes,No,No internet service,7392.06,ID663,Male,30
No,Month-to-month,Yes,No,DSL,29.94,No phone service,Yes,Yes,Yes,No,Mailed check,Yes,1,Yes,No internet service,Yes,7598.75,ID664,Male,59
No,One year,Yes,No,No,63.7,Yes,No internet service,No internet service,No,Yes,Bank transfer,Yes,0,No internet service,No internet service,No internet service,3095.89,ID665,Female,38
No,Two year,No,No internet service,No,33.55,No,Yes,No,No,No,Electronic check,No,0,No,Yes,No internet service,7020.61,ID666,Male,16
Yes,Month-to-month,No,No internet service,DSL,74.92,No,Yes,No internet service,No,No,Electronic check,Yes,0,No internet service,Yes,No,8544.18,ID667,Female,14
Yes,One year,Yes,Yes,No,66.2,No,No,Yes,No,Yes,Bank transfer,Yes,1,No internet service,Yes,No,4435.27,ID668,Female,57
Yes,One year,Yes,No,Fiber optic,37.83,No phone service,No internet service,No internet service,No,Yes,Bank transfer,No,0,No,No internet service,Yes,1464.54,ID669,Male,25
No,Month-to-month,Yes,No internet service,No,107.02,No,Yes,No internet service,Yes,No,Electronic check,No,1,No internet service,No internet service,No,3546.0,ID670,Male,51
Yes,Month-to-month,No,Yes,No,68.44,Yes,Yes,Yes,Yes,No,Bank transfer,Yes,1,Yes,Yes,No,5101.04,ID671,Female,15
No,Month-to-month,Yes,Yes,Fiber optic,70.07,Yes,No,Yes,Yes,Yes,Mailed check,No,1,Yes,No,Yes,6242.53,ID672,Female,3
Yes,Two year,No,Yes,DSL,68.37,No phone service,No,Yes,No,Yes,Electronic check,No,0,No internet service,No internet service,Yes,4835.5,ID673,Male,48
Yes,One year,No,Yes,Fiber optic,86.64,Yes,No internet service,Yes,No,Yes,Mailed check,No,1,Yes,No,No internet service,2843.32,ID674,Female,33
Yes,Month-to-month,No,No internet service,No,111.76,Yes,No,No internet service,Yes,No,Mailed check,Yes,0,Yes,Yes,No,7710.39,ID675,Female,17
No,Month-to-month,No,No internet service,No,69.98,Yes,Yes,Yes,No,No,Mailed check,No,1,Yes,Yes,No,473.61,ID676,Female,1
No,One year,No,No internet service,Fiber optic,84.06,No phone service,Yes,No internet service,No,No,Mailed check,No,1,No,No internet service,No,5336.25,ID677,Male,43
No,One year,No,Yes,Fiber optic,75.49,No,Yes,No,Yes,No,Mailed check,Yes,1,Yes,No internet service,No internet service,7291.11,ID678,Male,65
Yes,Two year,Yes,No internet service,DSL,23.07,Yes,Yes,No internet service,Yes,No,Credit card,Yes,1,No,No internet service,No,6489.76,ID679,Male,33
Yes,Month-to-month,No,No internet service,DSL,54.31,Yes,No internet service,No internet service,Yes,Yes,Electronic check,Yes,1,No internet service,No internet service,No,2377.34,ID680,Female,37
No,Month-to-month,Yes,No internet service,Fiber optic,96.7,No phone service,Yes,Yes,Yes,No,Electronic check,No,0,Yes,No internet service,No internet service,4545.37,ID681,Male,6
Yes,Month-to-month,No,Yes,No,117.95,No phone service,Yes,Yes,No,Yes,Electronic check,No,1,No,No internet service,No,3444.72,ID682,Female,51
No,Two year,Yes,No internet service,Fiber optic,44.03,No phone service,No,No internet service,Yes,Yes,Bank transfer,No,0,Yes,No,No,1271.28,ID683,Male,35
No,Month-to-month,No,No,DSL,102.26,No phone service,Yes,No internet service,No,No,Mailed check,No,1,No internet service,No,Yes,1037.54,ID684,Male,29
Yes,One year,Yes,No,Fiber optic,46.74,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,1,Yes,No internet service,No,5572.01,ID685,Female,44
No,Two year,Yes,No internet service,DSL,107.78,Yes,No,No,Yes,Yes,Mailed check,No,0,No internet service,Yes,No internet service,2260.92,ID686,Female,67
Yes,One year,Yes,Yes,DSL,71.02,Yes,Yes,No internet service,No,Yes,Mailed check,Yes,1,Yes,No internet service,No internet service,1976.06,ID687,Male,1
No,One year,Yes,Yes,No,114.37,No phone service,No internet service,Yes,No,Yes,Credit card,Yes,1,No,Yes,Yes,3654.8,ID688,Male,16
Yes,Month-to-month,No,No internet service,No,83.37,No phone service,No internet service,No internet service,Yes,No,Electronic check,Yes,0,No,Yes,No internet service,5775.59,ID689,Male,70
Yes,Month-to-month,No,No internet service,Fiber optic,29.53,No phone service,No,Yes,No,Yes,Bank transfer,No,0,No internet service,No internet service,Yes,4417.62,ID690,Male,70
Yes,Month-to-month,Yes,No internet service,No,72.34,No,No internet service,No internet service,Yes,Yes,Credit card,No,0,No internet service,Yes,Yes,6306.94,ID691,Female,60
No,Two year,No,Yes,DSL,115.32,No,Yes,Yes,No,No,Credit card,Yes,1,Yes,Yes,No internet service,570.69,ID692,Female,51
No,One year,No,Yes,Fiber optic,55.67,No phone service,No internet service,No internet service,Yes,No,Mailed check,Yes,1,No,Yes,Yes,7299.8,ID693,Male,52
No,Month-to-month,No,Yes,DSL,40.7,No,Yes,No internet service,Yes,Yes,Bank transfer,No,0,No internet service,Yes,No internet service,8493.92,ID694,Female,9
Yes,Two year,Yes,Yes,No,66.69,No phone service,No internet service,Yes,Yes,No,Bank transfer,No,1,No internet service,No internet service,Yes,7734.86,ID695,Male,28
Yes,Month-to-month,No,No,No,87.59,No,No,Yes,No,Yes,Bank transfer,No,1,No,No,Yes,4008.78,ID696,Female,17
No,Two year,No,No internet service,Fiber optic,104.48,No,No,Yes,Yes,No,Bank transfer,No,1,No,No internet service,No,3530.01,ID697,Male,34
Yes,Two year,No,Yes,No,59.53,No,No internet service,No,No,No,Mailed check,No,1,No internet service,Yes,No internet service,4923.09,ID698,Male,26
No,Two year,No,Yes,No,87.59,No phone service,No,No,Yes,No,Electronic check,No,1,Yes,Yes,No internet service,3383.57,ID699,Female,8
No,Two year,No,Yes,Fiber optic,98.04,No phone service,No internet service,Yes,Yes,No,Electronic check,No,0,No,No internet service,No,7103.45,ID700,Female,65
No,Two year,No,Yes,No,60.1,No phone service,Yes,Yes,Yes,No,Bank transfer,Yes,0,Yes,Yes,Yes,1040.28,ID701,Male,32
Yes,One year,Yes,No internet service,No,85.49,Yes,Yes,No,Yes,No,Credit card,Yes,1,No,No,No,3270.29,ID702,Female,37
Yes,One year,Yes,No internet service,Fiber optic,91.52,No,Yes,No internet service,Yes,No,Mailed check,Yes,1,No,No,No,4845.97,ID703,Male,20
Yes,One year,No,No internet service,Fiber optic,51.18,No phone service,No internet service,No,Yes,Yes,Bank transfer,No,0,No,Yes,No,6184.45,ID704,Male,35
Yes,Month-to-month,Yes,No internet service,Fiber optic,112.3,Yes,Yes,No internet service,No,No,Credit card,Yes,0,No,No internet service,No internet service,2437.26,ID705,Male,21
Yes,Month-to-month,No,No internet service,No,76.4,No phone service,No internet service,No,No,Yes,Mailed check,No,0,Yes,Yes,No,7260.64,ID706,Male,17
Yes,One year,No,Yes,Fiber optic,79.13,No phone service,Yes,No internet service,Yes,Yes,Electronic check,No,1,Yes,No,No internet service,4143.22,ID707,Male,26
Yes,Two year,No,No internet service,Fiber optic,18.44,No,No internet service,Yes,No,No,Credit card,No,0,No internet service,No internet service,No internet service,5327.45,ID708,Female,14
Yes,Month-to-month,No,No internet service,DSL,46.84,No phone service,No,No internet service,No,No,Mailed check,No,0,No,Yes,Yes,6671.28,ID709,Female,54
No,Two year,No,Yes,No,44.89,No,Yes,No internet service,Yes,Yes,Credit card,No,0,Yes,Yes,No internet service,6506.71,ID710,Female,27
Yes,Two year,Yes,No,No,102.48,No,No,Yes,No,Yes,Credit card,Yes,0,No internet service,Yes,No internet service,638.29,ID711,Male,23
Yes,One year,Yes,No,Fiber optic,94.97,Yes,No,No internet service,No,No,Credit card,Yes,0,Yes,Yes,Yes,8289.27,ID712,Female,49
Yes,One year,Yes,No,No,43.8,No phone service,No internet service,Yes,Yes,Yes,Electronic check,Yes,0,Yes,No internet service,Yes,4562.01,ID713,Female,8
No,Month-to-month,No,Yes,No,98.1,Yes,No internet service,No internet service,Yes,Yes,Credit card,Yes,1,Yes,No internet service,No,3273.78,ID714,Female,46
No,Two year,Yes,No internet service,Fiber optic,67.35,No phone service,No,No,Yes,No,Credit card,No,1,Yes,Yes,No,3886.84,ID715,Female,32
No,Two year,No,Yes,Fiber optic,77.21,No,No,Yes,No,No,Credit card,No,1,Yes,Yes,Yes,4377.0,ID716,Male,35
No,Two year,No,No,Fiber optic,114.12,No phone service,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,951.28,ID717,Male,13
Yes,Month-to-month,No,No internet service,DSL,86.97,No phone service,Yes,Yes,Yes,Yes,Bank transfer,Yes,0,Yes,No internet service,No internet service,3119.46,ID718,Male,30
No,Two year,Yes,No internet service,No,45.9,No,Yes,No internet service,No,Yes,Credit card,Yes,0,Yes,Yes,Yes,1036.6,ID719,Male,31
No,Two year,Yes,No internet service,No,73.6,No,No,No,No,Yes,Credit card,Yes,0,No internet service,No internet service,Yes,6479.34,ID720,Female,55
No,Month-to-month,No,No,Fiber optic,98.85,No phone service,Yes,No,Yes,Yes,Credit card,No,1,Yes,No,No,6076.65,ID721,Female,56
Yes,One year,Yes,Yes,Fiber optic,53.03,No phone service,No,No internet service,Yes,No,Bank transfer,No,1,Yes,Yes,Yes,7322.1,ID722,Female,21
No,Two year,Yes,No internet service,No,28.75,Yes,Yes,Yes,No,Yes,Credit card,No,1,No internet service,Yes,Yes,476.12,ID723,Male,28
Yes,Two year,No,No internet service,DSL,111.66,No phone service,No,No,No,Yes,Credit card,Yes,0,No internet service,Yes,No internet service,1126.58,ID724,Male,8
No,Month-to-month,No,No internet service,Fiber optic,45.97,Yes,No,Yes,No,Yes,Mailed check,No,0,Yes,No,No internet service,8076.95,ID725,Female,17
Yes,One year,No,No,No,20.56,No,No internet service,Yes,No,Yes,Bank transfer,Yes,1,No internet service,No internet service,No internet service,5204.73,ID726,Male,50
No,Month-to-month,Yes,No,DSL,78.55,Yes,Yes,Yes,Yes,No,Electronic check,Yes,0,No internet service,No internet service,No,8120.31,ID727,Male,33
No,Month-to-month,No,No,No,48.21,Yes,No internet service,No,Yes,No,Credit card,No,1,Yes,Yes,Yes,1499.04,ID728,Female,38
No,Two year,Yes,No,No,33.03,No phone service,No,Yes,No,No,Credit card,No,1,Yes,Yes,No internet service,281.55,ID729,Female,11
